109.644218362391 p[0]:-0.917319993730 p[1]:-5.086394984258 p[2]:-1.862747067819 p[3]:-1.153674083826 p[4]:-2.883401108686 p[5]:-3.221673024504 p[6]:-0.306477821952 p[7]:-1.783006864394 p[8]:-3.029131610315 p[9]:-1.121869791896
109.644218362000 p[0]:-0.917319994000 p[1]:-5.086394984000 p[2]:-1.862747068000 p[3]:-1.153674084000 p[4]:-2.883401109000 p[5]:-3.221673025000 p[6]:-0.306477822000 p[7]:-1.783006864000 p[8]:-3.029131610000 p[9]:-1.121869792000
109.644218362000 p[0]:-0.917319994000 p[1]:-5.086394984000 p[2]:-1.862747068000 p[3]:-1.153674084000 p[4]:-2.883401109000 p[5]:-3.221673025000 p[6]:-0.306477822000 p[7]:-1.783006864000 p[8]:-3.029131610000 p[9]:-1.121869792000
109.644218362000 p[0]:-0.917319994000 p[1]:-5.086394984000 p[2]:-1.862747068000 p[3]:-1.153674084000 p[4]:-2.883401109000 p[5]:-3.221673025000 p[6]:-0.306477822000 p[7]:-1.783006864000 p[8]:-3.029131610000 p[9]:-1.121869792000
109.644218362000 p[0]:-0.917319994000 p[1]:-5.086394984000 p[2]:-1.862747068000 p[3]:-1.153674084000 p[4]:-2.883401109000 p[5]:-3.221673025000 p[6]:-0.306477822000 p[7]:-1.783006864000 p[8]:-3.029131610000 p[9]:-1.121869792000
109.644218362000 p[0]:-0.917319994000 p[1]:-5.086394984000 p[2]:-1.862747068000 p[3]:-1.153674084000 p[4]:-2.883401109000 p[5]:-3.221673025000 p[6]:-0.306477822000 p[7]:-1.783006864000 p[8]:-3.029131610000 p[9]:-1.121869792000
106.284489557974 p[0]:-0.061922505000 p[1]:-0.074234674589 p[2]:-2.643237576882 p[3]:-0.916108969925 p[4]:-3.218634881000 p[5]:-2.268515673000 p[6]:-1.675358551000 p[7]:-1.010602849000 p[8]:-1.439541597000 p[9]:-1.932432622590
109.644218362000 p[0]:-0.917319994000 p[1]:-5.086394984000 p[2]:-1.862747068000 p[3]:-1.153674084000 p[4]:-2.883401109000 p[5]:-3.221673025000 p[6]:-0.306477822000 p[7]:-1.783006864000 p[8]:-3.029131610000 p[9]:-1.121869792000
132.765209254459 -1.888605224511968 2.3770226800017067 -1.5069100582604078 -4.714289708988835 -1.7600896319672072 -1.9789333130168318 -2.75896254791191 0.05997761394099976 -3.1098920105844234 0.07658810466354815
